nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,1609.084408,,,0.1339125,0.1339125
1,0.008533279,0.237985776,0.96505477,1686.070011,,,0.1158875,0.1339125
2,0.060753346,0.67148988,0.983078432,1624.254233,,,0.1006875,0.1339125
3,0.022729838,0.339562154,0.986003443,1628.381893,,,0.1044625,0.1339125
4,0.026973666,0.288328587,0.915815102,1634.481429,,,0.1035125,0.1339125
5,0.096640763,0.546494443,0.977510042,1632.740623,,,0.102,0.1339125
6,0.036780289,0.565057567,0.80134873,1639.22274,,,0.1209125,0.1339125
7,0.080283622,0.301765714,0.945165073,1634.594739,,,0.1050625,0.1339125
8,0.096579811,0.170867306,0.847423975,1633.062724,,,0.10465,0.1339125
9,0.040315342,0.426271911,0.955040924,1636.148826,,,0.1014,0.1339125
10,0.064497476,0.567522013,0.899563049,1635.84934,,,0.1028625,0.1339125
11,0.005025774,0.22874038,0.862196204,1643.544057,,,0.14385,0.14385
12,0.099582529,0.727752262,0.805316274,1634.411431,,,0.1053,0.14385
13,0.082655817,0.401840567,0.875609658,1637.311871,,,0.10615,0.14385
14,0.085007499,0.740391375,0.851082096,1640.409085,,,0.116275,0.14385
15,0.046564835,0.36520029,0.932825291,1637.652491,,,0.1025,0.14385
16,0.097674801,0.144345451,0.912329165,1635.942885,,,0.1011,0.14385
17,0.092340086,0.823253411,0.933306568,1637.955788,,,0.10155,0.14385
18,0.015735883,0.943306831,0.866940948,1649.89009,,,0.2376625,0.2376625
19,0.094131968,0.833165409,0.99026826,1637.416652,,,0.1046125,0.2376625
20,0.070396423,0.496085387,0.85146546,1641.685816,,,0.103425,0.2376625
21,0.089306995,0.424177276,0.924813284,1632.531154,,,0.1050875,0.2376625
22,0.024646231,0.663686106,0.93844488,1636.674852,,,0.1117875,0.2376625
23,0.053352797,0.526316277,0.961684406,1632.400072,,,0.1037125,0.2376625
24,0.059225034,0.134012687,0.843489713,1635.707173,,,0.10385,0.2376625
25,0.015474848,0.196557735,0.979680088,1638.066075,,,0.1050875,0.2376625
26,0.002215954,0.289586802,0.926046924,1644.474615,,,0.317975,0.317975
27,0.099399868,0.568322387,0.800397923,1635.379888,,,0.1036125,0.317975
28,0.033595519,0.905085834,0.920135447,1641.381355,,,0.14605,0.317975
29,0.042870681,0.721735747,0.995720885,1644.062184,,,0.13495,0.317975
