nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,2.50E-08,0.047316858,1705.446318,0.1059,0.1059
1,0.097237801,0.396027275,0.920756905,6.11E-08,0.063498876,1725.304573,0.1042,0.1059
2,0.07000959,0.195215632,0.982162457,2.78E-08,0.06924618,1718.425167,0.107725,0.107725
3,0.096640763,0.546494443,0.977510042,8.17E-08,0.081755604,1719.733807,0.1199875,0.1199875
4,0.09783499,0.865236496,0.965760466,8.05E-08,0.022418413,1729.152514,0.106525,0.1199875
5,0.092632317,0.575500897,0.893013466,4.24E-08,0.082097336,1721.083814,0.1053625,0.1199875
6,0.064497476,0.567522013,0.899563049,3.08E-08,0.042975002,1722.569226,0.10445,0.1199875
7,0.050020923,0.316895072,0.979858602,9.96E-08,0.069750251,1721.292972,0.10285,0.1199875
8,0.004454415,0.579876448,0.963191535,4.86E-08,0.012602185,1730.467032,0.2060875,0.2060875
9,0.046564835,0.36520029,0.932825291,2.56E-08,0.078236449,1718.8536,0.1012125,0.2060875
10,0.037997157,0.101435101,0.856385923,9.24E-08,0.08036149,1723.57546,0.106425,0.2060875
11,0.019713057,0.307935218,0.956605697,2.96E-08,0.067438256,1723.723065,0.148925,0.2060875
12,0.070396423,0.496085387,0.85146546,5.03E-08,0.021145128,1721.663264,0.1042375,0.2060875
13,0.042340283,0.205678757,0.896150831,2.54E-08,0.06263179,1723.366157,0.1012125,0.2060875
14,0.029933896,0.70139129,0.877346217,5.64E-08,0.060510116,1725.167116,0.153925,0.2060875
15,0.015474848,0.196557735,0.979680088,6.62E-08,0.080425972,1725.773038,0.1340875,0.2060875
16,0.065470751,0.128394383,0.849104163,9.94E-08,0.052035821,1721.516802,0.1013375,0.2060875
17,0.034235206,0.354347373,0.985155171,6.47E-08,0.097646557,1721.57706,0.1197375,0.2060875
18,0.057950604,0.999174855,0.929982035,4.16E-08,0.067425039,1720.313287,0.13805,0.2060875
19,0.026357707,0.279363951,0.979649969,6.16E-08,0.00873967,1718.229217,0.1011125,0.2060875
20,0.011622715,0.834099443,0.825523941,6.88E-08,0.016460128,1725.874657,0.15555,0.2060875
21,0.023053875,0.930508002,0.942261937,7.61E-08,0.08180749,1730.927087,0.266225,0.266225
22,0.077016523,0.710852781,0.878416514,5.88E-08,0.09394314,1716.994315,0.1343125,0.266225
