DensePolyNN:
experiment,accuracy,nr_linear_layers,learning_rate,beta1,beta2,epsilon,weight_decay
0,0.2472,2,0.003484159369958894,0.4863599328372166,0.9462532254829088,6.749302964765893e-08,0.07929512716552944
0,0.6735,2,0.003484159369958894,0.4863599328372166,0.9462532254829088,6.749302964765893e-08,0.07929512716552944
0,0.6723,2,0.003484159369958894,0.4863599328372166,0.9462532254829088,6.749302964765893e-08,0.07929512716552944
1,0.8097,2,0.004112943986953834,0.9981253850642523,0.9944071363494472,1.633935940961457e-08,0.01351199873787684
1,0.79,2,0.004112943986953834,0.9981253850642523,0.9944071363494472,1.633935940961457e-08,0.01351199873787684
1,0.8041,2,0.004112943986953834,0.9981253850642523,0.9944071363494472,1.633935940961457e-08,0.01351199873787684
2,0.8375,2,0.0005237824229049575,0.9955869473367974,0.9035232558717647,5.1724460664000074e-08,0.0030435482731696606
2,0.8369,2,0.0005237824229049575,0.9955869473367974,0.9035232558717647,5.1724460664000074e-08,0.0030435482731696606
2,0.8387,2,0.0005237824229049575,0.9955869473367974,0.9035232558717647,5.1724460664000074e-08,0.0030435482731696606
3,0.7618,1,0.0024357507270744254,0.989276594904139,0.9119607883900027,1.2214171053508669e-08,0.07624618189328126
3,0.7628,1,0.0024357507270744254,0.989276594904139,0.9119607883900027,1.2214171053508669e-08,0.07624618189328126
3,0.7629,1,0.0024357507270744254,0.989276594904139,0.9119607883900027,1.2214171053508669e-08,0.07624618189328126
4,0.7454,2,0.004827011561959195,0.9869367774775664,0.9546888960686452,9.710779611531537e-08,0.06854669680355882
4,0.7507,2,0.004827011561959195,0.9869367774775664,0.9546888960686452,9.710779611531537e-08,0.06854669680355882
4,0.7435,2,0.004827011561959195,0.9869367774775664,0.9546888960686452,9.710779611531537e-08,0.06854669680355882
5,0.8331,1,0.004469467854281495,0.9930947140774835,0.9478228863509265,7.393260940164159e-08,0.002389382054046996
5,0.8323,1,0.004469467854281495,0.9930947140774835,0.9478228863509265,7.393260940164159e-08,0.002389382054046996
5,0.8323,1,0.004469467854281495,0.9930947140774835,0.9478228863509265,7.393260940164159e-08,0.002389382054046996
6,0.8097,1,0.0036459212891805735,0.627894788633683,0.901041756216942,1.473067731652224e-09,0.012431935070018286
6,0.8097,1,0.0036459212891805735,0.627894788633683,0.901041756216942,1.473067731652224e-09,0.012431935070018286
6,0.8097,1,0.0036459212891805735,0.627894788633683,0.901041756216942,1.473067731652224e-09,0.012431935070018286
7,0.8199,1,0.004490525144322254,0.8266454856551387,0.9731752058116531,5.5723244127540875e-08,0.0040490410040333715
7,0.8199,1,0.004490525144322254,0.8266454856551387,0.9731752058116531,5.5723244127540875e-08,0.0040490410040333715
7,0.8198,1,0.004490525144322254,0.8266454856551387,0.9731752058116531,5.5723244127540875e-08,0.0040490410040333715
8,0.8127,3,0.00322431980871403,0.9449035891787637,0.9334434160581835,7.170182428289545e-08,0.008067438435273423
8,0.8211,3,0.00322431980871403,0.9449035891787637,0.9334434160581835,7.170182428289545e-08,0.008067438435273423
8,0.8227,3,0.00322431980871403,0.9449035891787637,0.9334434160581835,7.170182428289545e-08,0.008067438435273423
9,0.8222,1,0.004350207792103073,0.8176191733917753,0.9151456749009265,7.036425287187602e-08,0.004059929501283766
9,0.8223,1,0.004350207792103073,0.8176191733917753,0.9151456749009265,7.036425287187602e-08,0.004059929501283766
9,0.8225,1,0.004350207792103073,0.8176191733917753,0.9151456749009265,7.036425287187602e-08,0.004059929501283766
10,0.8284,3,0.0021258786289656377,0.9744287085140908,0.9008627218473567,3.804914222108312e-08,0.004044391668721681
10,0.8283,3,0.0021258786289656377,0.9744287085140908,0.9008627218473567,3.804914222108312e-08,0.004044391668721681
10,0.8327,3,0.0021258786289656377,0.9744287085140908,0.9008627218473567,3.804914222108312e-08,0.004044391668721681
11,0.816,4,0.0037770126028882074,0.8900278657942283,0.953995687373423,9.234034194782869e-08,0.0016226291956482509
11,0.8219,4,0.0037770126028882074,0.8900278657942283,0.953995687373423,9.234034194782869e-08,0.0016226291956482509
11,0.8114,4,0.0037770126028882074,0.8900278657942283,0.953995687373423,9.234034194782869e-08,0.0016226291956482509
12,0.83,4,0.0029340031618220823,0.6722842909464001,0.9634768953920744,8.162338270788674e-08,0.0009379413507908719
12,0.827,4,0.0029340031618220823,0.6722842909464001,0.9634768953920744,8.162338270788674e-08,0.0009379413507908719
12,0.8063,4,0.0029340031618220823,0.6722842909464001,0.9634768953920744,8.162338270788674e-08,0.0009379413507908719
13,0.6264,4,0.00367905469717911,0.705933368460072,0.9126063898390131,4.678886854119468e-08,0.09351604811615562
13,0.6288,4,0.00367905469717911,0.705933368460072,0.9126063898390131,4.678886854119468e-08,0.09351604811615562
13,0.6446,4,0.00367905469717911,0.705933368460072,0.9126063898390131,4.678886854119468e-08,0.09351604811615562
14,0.8098,4,0.004335481782857491,0.8103364933416817,0.9995511334996277,9.844219127373751e-08,0.007912080898674656
14,0.813,4,0.004335481782857491,0.8103364933416817,0.9995511334996277,9.844219127373751e-08,0.007912080898674656
14,0.8216,4,0.004335481782857491,0.8103364933416817,0.9995511334996277,9.844219127373751e-08,0.007912080898674656
15,0.7639,5,0.0018006334492685094,0.5715134485293927,0.9956913913758307,2.9250570969195146e-08,0.001958933720117673
15,0.7838,5,0.0018006334492685094,0.5715134485293927,0.9956913913758307,2.9250570969195146e-08,0.001958933720117673
15,0.8228,5,0.0018006334492685094,0.5715134485293927,0.9956913913758307,2.9250570969195146e-08,0.001958933720117673
16,0.822,5,0.0026406619355040413,0.9111146798887219,0.9925874193968253,9.297559477271136e-08,0.0015956160980794333
16,0.8242,5,0.0026406619355040413,0.9111146798887219,0.9925874193968253,9.297559477271136e-08,0.0015956160980794333
