nr,lr,b1,b2,energy,,,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,196.4738252,,,0.2117125,0.2117125
1,0.008533279,0.237985776,0.96505477,187.7378672,,,0.3257375,0.3257375
2,0.060753346,0.67148988,0.983078432,187.4844372,,,0.1866625,0.3257375
3,0.022729838,0.339562154,0.986003443,199.6642963,,,0.2177,0.3257375
4,0.026973666,0.288328587,0.915815102,196.3370582,,,0.224475,0.3257375
5,0.096640763,0.546494443,0.977510042,194.8866678,,,0.189525,0.3257375
6,0.036780289,0.565057567,0.80134873,199.2051337,,,0.20735,0.3257375
7,0.080283622,0.301765714,0.945165073,195.9366447,,,0.2037375,0.3257375
8,0.096579811,0.170867306,0.847423975,196.7217155,,,0.1917625,0.3257375
9,0.040315342,0.426271911,0.955040924,197.6409526,,,0.226925,0.3257375
10,0.064497476,0.567522013,0.899563049,196.5928664,,,0.218275,0.3257375
11,0.005025774,0.22874038,0.862196204,200.0320925,,,0.6326375,0.6326375
12,0.099582529,0.727752262,0.805316274,195.5186688,,,0.2018375,0.6326375
13,0.082655817,0.401840567,0.875609658,195.8920767,,,0.19015,0.6326375
14,0.085007499,0.740391375,0.851082096,195.9059068,,,0.2150875,0.6326375
15,0.046564835,0.36520029,0.932825291,196.5491804,,,0.2092125,0.6326375
16,0.097674801,0.144345451,0.912329165,194.3074313,,,0.2027375,0.6326375
17,0.092340086,0.823253411,0.933306568,195.0174072,,,0.2065125,0.6326375
18,0.015735883,0.943306831,0.866940948,198.9439894,,,0.8272875,0.8272875
19,0.094131968,0.833165409,0.99026826,195.6150905,,,0.20565,0.8272875
20,0.070396423,0.496085387,0.85146546,194.5647508,,,0.197275,0.8272875
21,0.089306995,0.424177276,0.924813284,195.6291842,,,0.1961875,0.8272875
22,0.024646231,0.663686106,0.93844488,198.7853322,,,0.2162875,0.8272875
23,0.053352797,0.526316277,0.961684406,196.0797747,,,0.2083875,0.8272875
24,0.059225034,0.134012687,0.843489713,195.2182999,,,0.2249375,0.8272875
25,0.015474848,0.196557735,0.979680088,198.1415245,,,0.27255,0.8272875
26,0.002215954,0.289586802,0.926046924,200.1132585,,,0.8288625,0.8288625
27,0.099399868,0.568322387,0.800397923,195.5866449,,,0.2156625,0.8288625
28,0.033595519,0.905085834,0.920135447,201.2196561,,,0.5117875,0.8288625
