nr,lr,b1,b2,epsilon,weight_decay,energy,accuracy,best_acc
DensePolyNN,,,,,,,,
random_uniform,,,,,,,,
0,0.049758682,0.339556351,0.927482232,2.50E-08,0.047316858,248.220278,0.3210625,0.3210625
1,0.097237801,0.396027275,0.920756905,6.11E-08,0.063498876,235.0599007,0.2061625,0.3210625
2,0.07000959,0.195215632,0.982162457,2.78E-08,0.06924618,202.5603596,0.2374875,0.3210625
3,0.096640763,0.546494443,0.977510042,8.17E-08,0.081755604,203.625209,0.283,0.3210625
4,0.09783499,0.865236496,0.965760466,8.05E-08,0.022418413,207.9224671,0.6829875,0.6829875
5,0.092632317,0.575500897,0.893013466,4.24E-08,0.082097336,206.9519404,0.2915125,0.6829875
6,0.064497476,0.567522013,0.899563049,3.08E-08,0.042975002,205.8627583,0.3633875,0.6829875
7,0.050020923,0.316895072,0.979858602,9.96E-08,0.069750251,206.6944647,0.30465,0.6829875
8,0.004454415,0.579876448,0.963191535,4.86E-08,0.012602185,208.9386723,0.783225,0.783225
9,0.046564835,0.36520029,0.932825291,2.56E-08,0.078236449,206.1448399,0.4170625,0.783225
10,0.037997157,0.101435101,0.856385923,9.24E-08,0.08036149,206.1895128,0.4468375,0.783225
11,0.019713057,0.307935218,0.956605697,2.96E-08,0.067438256,207.7790665,0.6838375,0.783225
12,0.070396423,0.496085387,0.85146546,5.03E-08,0.021145128,204.2008886,0.293875,0.783225
13,0.042340283,0.205678757,0.896150831,2.54E-08,0.06263179,205.6554975,0.458425,0.783225
14,0.029933896,0.70139129,0.877346217,5.64E-08,0.060510116,207.5367137,0.7293875,0.783225
15,0.015474848,0.196557735,0.979680088,6.62E-08,0.080425972,206.5966919,0.6853625,0.783225
16,0.065470751,0.128394383,0.849104163,9.94E-08,0.052035821,204.3816058,0.17845,0.783225
17,0.034235206,0.354347373,0.985155171,6.47E-08,0.097646557,206.7193434,0.745725,0.783225
18,0.057950604,0.999174855,0.929982035,4.16E-08,0.067425039,205.7481478,0.6875125,0.783225
19,0.026357707,0.279363951,0.979649969,6.16E-08,0.00873967,205.0081947,0.2575125,0.783225
20,0.011622715,0.834099443,0.825523941,6.88E-08,0.016460128,207.7704037,0.8081375,0.8081375
21,0.023053875,0.930508002,0.942261937,7.61E-08,0.08180749,207.7506866,0.683075,0.8081375
22,0.077016523,0.710852781,0.878416514,5.88E-08,0.09394314,206.400401,0.4411375,0.8081375
